,lat,lon,pred
186,-7.01727,107.00578,0.00001
187,-6.74130,107.08251,0.01737
188,-6.85730,107.25153,0.16778
189,-6.86816,107.09870,0.00000
190,-6.86364,107.02478,0.00112
191,-6.85603,107.13028,0.96462
192,-6.74139,107.08024,0.04538
193,-6.88137,106.98135,0.02562
194,-6.84282,107.13969,0.00003
195,-7.18774,107.33215,0.00060
196,-6.88327,106.94696,0.04744
197,-6.85757,107.13426,0.18430
198,-6.85730,107.14367,0.05828
199,-6.87974,106.98053,0.00833
200,-7.01664,107.00361,0.00260
201,-6.78410,107.04848,0.01405
202,-6.76809,107.03464,0.00069
203,-6.86915,107.04577,0.01432
204,-6.95828,107.78465,0.00003
205,-7.01845,107.80284,0.00000
206,-7.01356,107.80057,0.00000
207,-6.76030,107.62531,0.00005
208,-6.90227,107.57192,0.00019
209,-6.97828,107.62115,0.00040
210,-6.80799,107.57591,0.00006
211,-6.95819,107.78628,0.00001
212,-7.01067,107.74312,0.00000
213,-6.81957,107.57790,0.00243
214,-6.81432,107.51944,0.08837
215,-6.81830,107.57600,0.01576
216,-6.81306,107.57527,0.01039
217,-6.80736,107.54758,0.01876
218,-6.80862,107.54071,0.04392
219,-6.87757,107.50868,0.00003
220,-6.95285,107.78628,0.00000
221,-7.02126,107.59663,0.00000
222,-6.95557,107.79442,0.00000
223,-7.09645,107.71091,0.12200
224,-6.79369,107.58450,0.00733
225,-6.92218,107.79985,0.16879
226,-6.80699,107.58568,0.00844
227,-6.96678,107.79514,0.00000
228,-6.80989,107.52388,0.02527
229,-6.75886,107.61246,0.00126
230,-6.80871,107.52913,0.01996
231,-6.75886,107.61011,0.03837
232,-6.76157,107.60893,0.00525
233,-6.81794,107.54677,0.00346
234,-6.79677,107.59400,0.02337
235,-6.80184,107.54713,0.00090
236,-6.94181,107.65960,0.03670
237,-6.94706,107.64141,0.00000
238,-6.95674,107.78935,0.00006
239,-6.80156,107.58812,0.00744
240,-6.86680,107.52180,0.03761
241,-6.76067,107.61608,0.00015
242,-7.07093,107.61382,0.01740
243,-6.82491,107.58586,0.00190
244,-7.02424,107.63879,0.08358
245,-6.95638,107.52252,0.06165
246,-7.05971,107.73316,0.03364
247,-7.00461,107.74312,0.00000
248,-6.79405,107.57844,0.00146
249,-6.95520,107.78519,0.00000
250,-6.80681,107.55482,0.00045
251,-6.95240,107.79306,0.00000
252,-6.95466,107.79270,0.00000
253,-6.86789,107.52270,0.00043
254,-6.80536,107.53202,0.04426
255,-6.81631,107.58513,0.00474
256,-6.98162,107.62296,0.00000
257,-6.75777,107.61092,0.00210
258,-6.80699,107.53383,0.00826
259,-6.80220,107.53754,0.04939
260,-7.00859,107.55193,0.00000
261,-6.76139,107.60957,0.00174
262,-6.91078,107.54207,0.00000
263,-6.95430,107.80464,0.00000
264,-6.92942,107.56116,0.00000
265,-6.83920,107.51166,0.23836
266,-6.80039,107.53139,0.00291
267,-6.83378,107.56993,0.00601
268,-6.92923,107.51483,0.05197
269,-6.81595,107.57509,0.08937
270,-6.99366,107.52994,0.10764
271,-6.85631,107.54894,0.22416
272,-7.04976,107.78094,0.01727
273,-7.05274,107.54478,0.03088
274,-7.02786,107.67896,0.00787
275,-6.82509,107.58197,0.01484
276,-6.81767,107.62296,0.00277
277,-7.04569,107.70729,0.00183
278,-6.91141,107.72973,0.01282
279,-6.86617,107.57201,0.01135
280,-6.80880,107.57672,0.12786
281,-6.98696,107.53238,0.01540
282,-6.97864,107.83704,0.00000
283,-7.00207,107.81197,0.00000
284,-6.84563,107.86518,0.02613
285,-6.86590,107.83459,0.02102
286,-6.96507,107.81387,0.00000
287,-6.88327,107.82727,0.07657
288,-7.12332,107.90047,0.00671
289,-6.97647,107.83595,0.00000
290,-7.15779,107.90255,0.02835
291,-7.01031,107.80872,0.00000
292,-6.89178,107.83369,0.02561
293,-7.12124,107.90001,0.02949
294,-7.15435,107.90635,0.54547
295,-7.11382,107.88436,0.16825
296,-6.96823,107.85486,0.06930
297,-7.12196,107.89866,0.08277
298,-7.02496,107.81478,0.01366
299,-7.13011,107.92906,0.05792
300,-6.78709,108.18684,0.99984
301,-6.89358,108.48299,0.03526
302,-6.86427,108.34509,0.08162
303,-6.89558,108.40708,0.00000
304,-6.91630,108.49937,0.98699
305,-6.74139,108.41160,0.93541
306,-6.77831,108.54678,0.92912
307,-6.78093,108.64360,0.00017
308,-7.02614,108.63428,0.14433
309,-6.88092,108.33080,0.73935
310,-6.87648,108.47159,0.01807
311,-6.95448,108.47204,0.02660
312,-6.77967,108.54660,0.66873
313,-6.74691,108.58107,0.00000
314,-6.89693,108.46770,0.05203
315,-6.86943,108.84058,0.00000
316,-6.86092,109.08026,0.00608
317,-6.86083,109.12008,0.31320
318,-6.86183,109.12170,0.05489
319,-6.85260,109.12541,0.00041
320,-6.86943,108.84184,0.00000
321,-6.86364,109.08443,0.00001
322,-6.98434,108.82492,0.00002
323,-6.86327,109.17409,0.00000
324,-6.96208,109.38727,0.98047
325,-6.85784,109.59836,0.00000
326,-6.85857,109.59927,0.00000
327,-7.06794,109.56697,0.96714
328,-6.85947,109.60189,0.00000
329,-6.85821,109.59547,0.00002
330,-6.96262,109.38772,0.99962
331,-6.87151,109.34094,0.00002
332,-6.86192,109.59438,0.00011
333,-6.88969,109.57665,0.00000
334,-7.02668,109.17979,0.93899
335,-6.85947,109.60045,0.00001
336,-6.85893,109.59683,0.00000
337,-7.00795,110.05955,0.08687
338,-6.92634,109.74675,0.96966
339,-6.87024,109.68649,0.00408
340,-6.88779,109.74739,0.00908
341,-6.87024,109.68532,0.00251
342,-6.88553,109.74766,0.04376
343,-6.88173,109.75065,0.00000
344,-6.86771,109.70676,0.00000
345,-7.13517,110.01286,0.10005
346,-6.88734,109.74838,0.17374
347,-6.86762,109.70622,0.00000
348,-6.94950,110.42619,0.00000
349,-7.00108,110.26377,0.99865
350,-6.95321,110.42546,0.00000
351,-6.96968,110.26630,0.01508
352,-6.93086,110.30530,0.00000
353,-7.02071,110.35588,0.99681
354,-7.00958,110.35235,0.00000
355,-7.01881,110.49920,0.00000
356,-6.93837,110.29019,0.00000
357,-6.94679,110.46907,0.14851
358,-6.96859,110.33208,0.00000
359,-7.17860,110.42881,0.00032
360,-6.93457,110.30042,0.00001
361,-6.93421,110.29698,0.00000
362,-6.93285,110.29924,0.00212
363,-6.93322,110.30322,0.00000
364,-6.93756,110.29064,0.00000
365,-7.18078,110.47640,0.00000
366,-7.17860,110.42827,0.00023
367,-7.02288,110.35633,0.11065
368,-7.16838,110.42673,0.01200
369,-7.17155,110.41913,0.00000
370,-7.01935,110.49477,0.00000
371,-6.95547,110.39379,0.00000
372,-7.00415,110.35742,0.00000
373,-6.93475,110.30223,0.00000
374,-6.96968,110.26033,0.00002
375,-6.95602,110.47052,0.03992
376,-6.95140,110.47007,0.00000
377,-6.77161,110.86150,0.00000
378,-6.90236,110.60941,0.98543
