name,lon,lat,coords
java_128,108.546779821329,-6.7783103732931975,"[108.546779821329, -6.7783103732931975]"
java_133,108.54659885690441,-6.779667606477637,"[108.54659885690441, -6.779667606477637]"
java_138,109.3872690913456,-6.962079746466169,"[109.3872690913456, -6.962079746466169]"
java_139,109.56696676496529,-7.067943934852372,"[109.56696676496529, -7.067943934852372]"
java_140,109.38772150240708,-6.962622639739945,"[109.38772150240708, -6.962622639739945]"
java_142,109.1797933785511,-7.0266840460454425,"[109.1797933785511, -7.0266840460454425]"
java_143,110.05955192870412,-7.007954228100191,"[110.05955192870412, -7.007954228100191]"
java_144,109.7467549207972,-6.9263392726092885,"[109.7467549207972, -6.9263392726092885]"
java_146,110.26377028185598,-7.001077579965703,"[110.26377028185598, -7.001077579965703]"
java_147,110.35588117397322,-7.0207122200339125,"[110.35588117397322, -7.0207122200339125]"
java_153,110.60941233282631,-6.902361486350876,"[110.60941233282631, -6.902361486350876]"
java_155,110.53666463414042,-7.025688741710187,"[110.53666463414042, -7.025688741710187]"
java_158,111.56680462112922,-7.137796202744808,"[111.56680462112922, -7.137796202744808]"
java_159,111.66877807438671,-6.843367083933949,"[111.66877807438671, -6.843367083933949]"
java_162,112.2960912522342,-6.920005517748578,"[112.2960912522342, -6.920005517748578]"
java_166,112.43054781970592,-7.141144044599756,"[112.43054781970592, -7.141144044599756]"
java_171,108.08622536074283,-7.381283836033073,"[108.08622536074283, -7.381283836033073]"
java_173,108.64097180432907,-7.644406109389548,"[108.64097180432907, -7.644406109389548]"
java_174,108.26682785648548,-7.38906530629052,"[108.26682785648548, -7.38906530629052]"
java_175,108.49909569544909,-7.328713670689154,"[108.49909569544909, -7.328713670689154]"
java_176,108.57374352059314,-7.490676830698815,"[108.57374352059314, -7.490676830698815]"
java_177,109.0651524155722,-7.444349938003316,"[109.0651524155722, -7.444349938003316]"
java_178,108.99747172077488,-7.23216915016943,"[108.99747172077488, -7.23216915016943]"
java_181,109.5306833978346,-7.550395090814109,"[109.5306833978346, -7.550395090814109]"
java_183,109.89505526675018,-7.39503713230205,"[109.89505526675018, -7.39503713230205]"
java_185,110.44464422423547,-7.225202019822644,"[110.44464422423547, -7.225202019822644]"
java_196,110.2010661087349,-7.579801809810276,"[110.2010661087349, -7.579801809810276]"
java_197,110.48572314861782,-7.376850207630572,"[110.48572314861782, -7.376850207630572]"
java_198,110.2452214283353,-7.469594475233871,"[110.2452214283353, -7.469594475233871]"
java_199,110.85597636133265,-7.535465525785288,"[110.85597636133265, -7.535465525785288]"
java_203,110.95532583043354,-7.635176923735367,"[110.95532583043354, -7.635176923735367]"
java_204,110.85543346805885,-7.538270474366459,"[110.85543346805885, -7.538270474366459]"
java_221,111.50265273261145,-7.613099263935168,"[111.50265273261145, -7.613099263935168]"
java_223,112.19493213888737,-7.539446743126304,"[112.19493213888737, -7.539446743126304]"
java_225,112.08906795050116,-7.574825288134003,"[112.08906795050116, -7.574825288134003]"
java_236,112.6618203543342,-7.292430303558499,"[112.6618203543342, -7.292430303558499]"
java_240,109.049498992845,-7.648477808942863,"[109.049498992845, -7.648477808942863]"
java_241,109.04877513514664,-7.6485682911551605,"[109.04877513514664, -7.6485682911551605]"
java_242,110.42989562363123,-7.869887782430931,"[110.42989562363123, -7.869887782430931]"
java_243,110.25834134911824,-7.997105772918966,"[110.25834134911824, -7.997105772918966]"
java_244,110.90655591800603,-7.697790614644131,"[110.90655591800603, -7.697790614644131]"
java_247,110.907460740129,-7.698152543493313,"[110.907460740129, -7.698152543493313]"
java_249,110.97523191713863,-7.977471132850756,"[110.97523191713863, -7.977471132850756]"
java_253,111.84883767685554,-7.655444939289649,"[111.84883767685554, -7.655444939289649]"
java_261,111.97542229185748,-7.8169556882378295,"[111.97542229185748, -7.8169556882378295]"
java_262,112.1800025738585,-7.729911800009174,"[112.1800025738585, -7.729911800009174]"
java_270,111.97487939858372,-7.817950992573085,"[111.97487939858372, -7.817950992573085]"
java_271,112.53523573933224,-7.920105410255156,"[112.53523573933224, -7.920105410255156]"
java_272,112.66652542937359,-7.848986391390578,"[112.66652542937359, -7.848986391390578]"
java_275,112.57531935937936,-7.981723796828662,"[112.57531935937936, -7.981723796828662]"
java_282,112.55767532798164,-7.649835042127303,"[112.55767532798164, -7.649835042127303]"
java_284,112.62734663144948,-8.032846246775847,"[112.62734663144948, -8.032846246775847]"
java_286,112.5779433435359,-7.983442958862286,"[112.5779433435359, -7.983442958862286]"
java_296,113.23267263170904,-7.87034019349241,"[113.23267263170904, -7.87034019349241]"
java_303,113.06899030966575,-7.6836753895259715,"[113.06899030966575, -7.6836753895259715]"
java_311,112.5629232962948,-8.118713866244656,"[112.5629232962948, -8.118713866244656]"
java_323,113.761360198154,-8.169655351767247,"[113.761360198154, -8.169655351767247]"
