,iso,coords,id
1579,DOM,"[19.206962664580445, -69.32660880489007]",8f4cf30327a571c
1580,IDN,"[-7.869977386585685, 110.42959906222265]",8f8d8c84a851575
1581,CHN,"[30.78325067708813, 114.40203546087211]",8f40a6892d168aa
1582,IDN,"[-6.13562122943018, 106.61861995186658]",8f8c106d186b955
1583,IND,"[13.029212286344526, 80.04067222669421]",8f618c791591788
1584,IND,"[27.58906285272276, 81.60109225798652]",8f3c3679ed8d2a3
1585,MYS,"[5.722347535462048, 101.79874083648193]",8f651cd69950ce5
1586,IDN,"[-6.882844228103953, 112.26994494368297]",8f8d803a8d14c30
1587,TUR,"[40.63875147816226, 26.44121708734334]",8f1eca91ed41566
1588,IDN,"[-6.938945828732993, 111.41336211385723]",8f8d8170e314005
1589,VNM,"[18.088666437730726, 105.79338006565405]",8f416ad30105974
1590,DZA,"[35.36095558351532, 0.056130134920795]",8f382e4a962605e
1591,IND,"[20.333534976382005, 72.94469084161308]",8f42db85d18bad2
1592,THA,"[17.018642749132777, 101.29846403748282]",8f64b0b438644d8
1593,MMR,"[16.95677702530965, 96.06659197264572]",8f648c8ce9418b0
1594,CHN,"[24.782317545437312, 105.38242594699855]",8f407695e0a04ee
1595,IDN,"[2.925656012286463, 99.78640691450369]",8f650c95d0b536a
1596,IND,"[17.276467345312565, 74.19203910827225]",8f608ca1040c2db
1597,IND,"[17.529910090423186, 78.30552700358152]",8f60a249c518ace
1598,IND,"[22.353833826036666, 71.98227957316492]",8f42ce521961b1a
1599,IND,"[21.107298594023394, 73.0992766100016]",8f42d910e3a3340
1600,IND,"[20.5659205178457, 74.56036847896002]",8f6098363a49194
1601,ALB,"[41.5048439870618, 19.771404110229454]",8f1ed48d279ea4e
1602,CHN,"[24.64800814179564, 117.23957830322338]",8f41a18e6205803
1603,CHN,"[24.69391857657647, 118.14112483061531]",8f41a0b16c095b4
1604,MYS,"[1.626222149370639, 110.19656664029303]",8f8c966b06b62e9
1605,IND,"[24.187932887705063, 87.75696494114847]",8f3cf4cc0d212a5
1606,IND,"[26.555830749524215, 80.52041636407867]",8f3d8c3884a94f6
1607,IND,"[12.268647339937232, 76.65528999493667]",8f6015d8ed66c90
1608,IND,"[31.30342389904079, 75.3346958099427]",8f4249b2a7729a1
1609,IND,"[20.415112816719105, 85.77673018979822]",8f3c8e50d4c1af3
1610,IND,"[18.65672042722546, 73.85679707527768]",8f608858c2dd229
1611,IDN,"[-6.200752708619888, 106.61013891429602]",8f8c106e37430f3
1612,IDN,"[-6.215233715062918, 106.74816579719484]",8f8c10612b4a373
1613,IND,"[8.637853507978585, 77.51579589585887]",8f6026cc9cd8d2d
1614,DOM,"[19.318172957270587, -70.40701759149809]",8f4cd4d054add42
1615,MMR,"[21.919509989447725, 95.97954349366915]",8f649b680c20c66
1616,IDN,"[-7.886875001671258, 113.87789344650807]",8f8da278ac0d3b3
1617,IND,"[22.872125837073288, 88.35995429955585]",8f3cf291ec1bb44
1618,BRA,"[-4.484483385495126, -43.904465285887966]",8f802a19b6250b4
1619,IND,"[13.180933016656121, 80.28288474853976]",8f618eb30d31c12
1620,TZA,"[-6.916747823828941, 39.238830457414885]",8f7b4c8424c9666
1621,LKA,"[6.119578975971737, 80.98140242605912]",8f6102825795092
1622,IND,"[24.922928710105978, 79.59952658634056]",8f3d9d874080210
1623,IND,"[21.7218736434474, 71.97036853602177]",8f42dd880791344
1624,IND,"[19.137412396257435, 77.97722181094636]",8f60b32507524a6
1625,CHN,"[21.560180972657868, 109.24254972498892]",8f41546a236c4f5
1626,MYS,"[1.753002632845928, 111.39641830386994]",8f68b484b6cd30d
1627,PHL,"[13.176121582095783, 120.68315990953931]",8f695d5ad558455
1628,IND,"[9.497563692290212, 77.82367809105108]",8f6035d4b41b166
1629,IDN,"[-8.092539771702787, 112.19811718101415]",8f8d85160c1d689
1630,DZA,"[36.23651034386456, 1.881259690288865]",8f3828aa1d1c32c
1631,PHL,"[6.186024699245134, 125.07272368195538]",8f685e21cc90396
1632,THA,"[15.85304753519245, 102.02593702373305]",8f659b70e994c61
1633,THA,"[6.322462957576296, 101.69591432875079]",8f651c42ac33906
1634,VNM,"[12.008794725462147, 109.12816815696976]",8f6914ca138e425
1635,IND,"[17.38547552755092, 78.345771891151]",8f60a25896a45a8
1636,MYS,"[1.981666883178824, 112.92945950058993]",8f68a2dad076482
1637,IND,"[10.61376223032195, 78.42186060526322]",8f6036a610c3736
1638,IDN,"[-7.430512640764166, 112.4828230786297]",8f8d8548119e02c
1639,IND,"[21.103133679978892, 86.52823089606915]",8f3c8ea4c921515
1640,PHL,"[14.788044658695942, 120.9747846770809]",8f69416d8470128
1641,KHM,"[12.53600162051234, 103.97854802283403]",8f6583d28455a29
1642,NGA,"[6.012197084367163, 6.90687095173373]",8f588b3806d642c
1643,PHL,"[8.198873830204143, 123.83036318088902]",8f6842ca178ed60
1644,THA,"[6.55674735850998, 101.35432507891866]",8f651c686d8cce5
1645,CHN,"[39.27047748081812, 117.38621791509085]",8f318c306ca9153
1646,TUR,"[39.7853684198534, 26.302630249910912]",8f1eca4e1b9a92c
1647,DZA,"[35.680625619731735, -0.448161331980125]",8f38233763a02e3
1648,CHN,"[30.12708393954655, 121.38842119299171]",8f4b34a2ec368ea
1649,IND,"[17.169760117044767, 78.12361583226186]",8f60a2090158844
1650,BRA,"[-2.897142243080232, -41.63451506001568]",8f80036b29b0c8a
1651,PHL,"[17.553121720728697, 120.42012180919741]",8f696e84b865ca5
1652,IND,"[9.258774950969705, 77.90259112802389]",8f60359a0d23cc6
1653,IND,"[12.827629138125468, 79.72941994878731]",8f618c663b862c1
1654,CHN,"[23.519989880531828, 116.79806728874128]",8f4110492d00c00
1655,IDN,"[-6.139401821632055, 106.5084038139833]",8f8c13d65adc22d
1656,CHN,"[18.760358853511708, 109.13989983214955]",8f4171d08930b6e
