,lon,lat,geometry,soil great group,landform value,landform description,elevation (m),fine earth density (kg / m^3),sand content in soil (%),clay content in soil (%),drainage direction,upstream drainage area (km^2),hydrologically adjusted elevations,distance to waterway(m),slope
26,106.46622897684458,11.947513226861426,POINT (106.4662289768446 11.94751322686142),1.0,24,Upper slope (flat),73,130.0,49.0,25.0,northeast,0.10039592534303665,0.40000152587890625,206.91599048880073,1.8315307516280213
27,104.20521502980988,10.679906281775844,POINT (104.2052150298099 10.67990628177584),3.0,31,Lower slope (warm),11,137.0,44.0,24.0,west,0.025207985192537308,5.099999904632568,280.6562751803659,1.5771108099733455
28,104.7980221562273,10.979814379972883,POINT (104.7980221562273 10.97981437997288),4.0,34,Lower slope (flat),5,102.0,37.0,31.0,northeast,0.008394438773393631,2.8000001907348633,91.12460732905794,0.4413097984426889
29,103.71460851620644,10.597944982197737,POINT (103.7146085162064 10.59794498219774),0.0,31,Lower slope (warm),53,117.0,47.0,30.0,southwest,0.025214601308107376,58.40000534057617,541.6428039386102,9.66199020733007
30,104.97162308258152,12.063857517463243,POINT (104.9716230825815 12.06385751746324),0.0,34,Lower slope (flat),15,140.0,50.0,25.0,southwest,0.025088177993893623,3.0,265.81602769137487,0.6944273866506809
31,103.54695310081458,10.630595783547466,POINT (103.5469531008146 10.63059578354747),1.0,21,Upper slope (warm),95,116.0,45.0,30.0,southeast,0.008404017426073551,24.5,671.0795252187296,2.080311626957213
32,103.01149592947729,11.591273461848486,POINT (103.0114959294773 11.59127346184849),0.0,34,Lower slope (flat),5,121.0,48.0,26.0,northeast,0.00837691780179739,0.5000002384185791,117.99061307815902,0.7028129716397236
33,104.97912653059632,11.417137474924136,POINT (104.9791265305963 11.41713747492413),1.0,24,Upper slope (flat),8,117.0,31.0,42.0,northwest,0.008382001891732216,0.6000003814697266,246.0404402296472,0.4416498957603929
34,102.95710087082985,13.645282732069793,POINT (102.9571008708298 13.64528273206979),0.0,34,Lower slope (flat),16,155.0,47.0,25.0,northeast,0.008311250247061253,1.1000003814697266,95.9121526911758,1.1370692482721518
35,104.61480610154571,12.268779858164196,POINT (104.6148061015457 12.26877985816419),2.0,34,Lower slope (flat),23,132.0,37.0,32.0,west,0.02506924793124199,5.5,254.06198635813942,1.881094294486165
36,104.87248420205442,12.772790893681726,POINT (104.8724842020544 12.77279089368173),0.0,24,Upper slope (flat),14,132.0,41.0,31.0,southwest,0.03336161747574806,0.3000001907348633,48.76271509601185,0.8855398940612149
37,104.71091736613977,11.25287959671884,POINT (104.7109173661398 11.25287959671884),0.0,24,Upper slope (flat),29,149.0,51.0,25.0,southeast,0.016773469746112823,6.19999885559082,632.2967991454982,1.1297307948596453
38,107.6270962788192,12.494102633697851,POINT (107.6270962788192 12.49410263369785),1.0,21,Upper slope (warm),607,125.0,39.0,34.0,northwest,0.008349355310201645,52.0,346.3188731753526,3.3372710351486767
39,104.76505090104284,11.536925015594626,POINT (104.7650509010428 11.53692501559463),1.0,42,Valley (narrow),19,139.0,38.0,30.0,west,0.008378521539270878,0.6000003814697266,471.73545879533395,0.6310524113813994
40,104.49403788120009,10.40124784401644,POINT (104.4940378812001 10.40124784401644),1.0,24,Upper slope (flat),3,87.0,22.0,43.0,southeast,0.00841015949845314,3.799999952316284,427.12474734490326,0.6936023777524374
41,103.73128009329056,13.466877510543007,POINT (103.7312800932906 13.46687751054301),1.0,34,Lower slope (flat),16,125.0,46.0,27.0,northwest,0.008317367173731327,0.39999961853027344,29.99999999994702,0.8868240266313911
42,106.03424780016512,11.081169713334761,POINT (106.0342478001651 11.08116971333476),0.0,34,Lower slope (flat),6,126.0,41.0,33.0,southeast,0.008391610346734524,0.19999980926513672,350.16315070490464,0.9794391461285852
43,102.56843286860622,13.631692114049669,POINT (102.5684328686062 13.63169211404967),1.0,34,Lower slope (flat),39,145.0,46.0,26.0,southeast,0.008311701007187366,0.7999992370605469,75.77750104870259,0
44,104.9978706567467,13.776363612749867,POINT (104.9978706567467 13.77636361274987),0.0,34,Lower slope (flat),65,139.0,51.0,23.0,northwest,0.15782834589481354,8.099998474121094,266.46070737171334,0.9274099368650546
45,102.52274805739158,13.5632556865896,POINT (102.5227480573916 13.5632556865896),0.0,41,Valley,60,133.0,51.0,23.0,southeast,10.202780723571777,0.0,0.0,3.1017399228142946
46,104.66038558512881,11.933871096977564,POINT (104.6603855851288 11.93387109697756),0.0,34,Lower slope (flat),22,137.0,48.0,26.0,east,52.931034088134766,0.0,0.0,1.8127395419925292
47,102.60614507770481,13.676796239903998,POINT (102.6061450777048 13.676796239904),1.0,24,Upper slope (flat),62,128.0,43.0,31.0,southwest,0.008310153149068356,9.0,262.3441279138186,1.8813968940215042
48,104.96845885795359,10.556954138765915,POINT (104.9684588579536 10.55695413876592),0.0,34,Lower slope (flat),16,140.0,54.0,20.0,east,0.016811992973089218,10.899999618530273,466.0918374595642,1.4014201190125635
49,102.39367667295832,13.154796308296163,POINT (102.3936766729583 13.15479630829616),1.0,31,Lower slope (warm),120,113.0,45.0,30.0,southeast,0.008327875286340714,6.3000030517578125,30.000000000035534,1.2697714261603774
50,105.03058193199101,12.038608878289788,POINT (105.030581931991 12.03860887828979),1.0,34,Lower slope (flat),16,127.0,36.0,36.0,southwest,0.008363519795238972,5.700000762939453,303.1822235225443,2.263059963052138
51,105.31130212884813,12.133102942451966,POINT (105.3113021288481 12.13310294245196),2.0,24,Upper slope (flat),65,150.0,39.0,35.0,south,0.016721203923225403,13.10000228881836,175.97912909365266,1.8131066298992329
52,106.48170607870412,-6.148453156299082,POINT (106.4817060787041 -6.148453156299083),1.0,24,Upper slope (flat),18,119.0,40.0,40.0,southwest,0.008499663323163986,5.90000057220459,546.5132197131896,0.3109494503249059
53,109.53085752857149,-7.550558097244368,POINT (109.5308575285715 -7.550558097244367),0.0,21,Upper slope (warm),124,111.0,45.0,39.0,southeast,0.008475209586322308,79.69999694824219,299.9999999998242,5.478784747524909
54,106.99107942556326,-6.343537132131701,POINT (106.9910794255633 -6.3435371321317),2.0,31,Lower slope (warm),47,116.0,33.0,48.0,east,0.008496562950313091,2.9000015258789062,228.19776690883077,0.694686224959211
55,110.90890863088279,-6.76577882383104,POINT (110.9089086308828 -6.76577882383104),0.0,21,Upper slope (warm),55,113.0,39.0,42.0,west,0.008489508181810379,25.499996185302734,119.16432173382424,8.650938264435617
56,112.63117650463472,-7.152336970583494,POINT (112.6311765046347 -7.152336970583494),1.0,34,Lower slope (flat),13,128.0,48.0,31.0,west,0.008482653647661209,1.0,134.08722034529285,0
57,106.74369986059929,-6.2875161435830975,POINT (106.7436998605993 -6.287516143583098),2.0,24,Upper slope (flat),37,104.0,29.0,53.0,northeast,0.28891274333000183,0.0,378.1517092406814,0.43853996473227635
58,107.74042529470778,-6.590958593903213,POINT (107.7404252947078 -6.590958593903214),0.0,31,Lower slope (warm),176,115.0,40.0,40.0,northeast,0.008492491208016872,19.699996948242188,99.3390839307827,9.838833935485892
59,112.59723385281583,-7.509127140183103,POINT (112.5972338528158 -7.509127140183104),1.0,34,Lower slope (flat),13,118.0,41.0,35.0,northeast,0.008476000279188156,2.90000057220459,100.15085796357769,0.43910972277837873
60,107.97332905436846,-6.787530131094053,POINT (107.9733290543685 -6.787530131094053),0.0,21,Upper slope (warm),787,97.0,45.0,33.0,southeast,0.008489136584103107,159.0,139.01877400863575,10.75067275464549
61,107.13035618368458,-6.856243444821049,POINT (107.1303561836846 -6.856243444821049),0.0,21,Upper slope (warm),457,106.0,39.0,39.0,northwest,0.008487951941788197,14.0999755859375,89.35638956255951,3.356963418021242
62,110.29755005383561,-7.850689632923468,POINT (110.2975500538356 -7.850689632923469),0.0,21,Upper slope (warm),134,129.0,48.0,33.0,west,0.016938626766204834,28.300010681152344,581.8407177866104,4.223476222847932
63,112.19811718101415,-8.092539771702787,POINT (112.1981171810142 -8.092539771702787),1.0,21,Upper slope (warm),201,120.0,48.0,33.0,southwest,0.008464425802230835,9.399993896484375,50.000000000029715,5.250305592244294
64,108.54667249316631,-6.779879702796067,POINT (108.5466724931663 -6.779879702796067),1.0,21,Upper slope (warm),60,128.0,46.0,36.0,northeast,0.008489268831908703,27.60000228881836,470.96804678011245,3.4345537657295373
65,107.03359365084093,-6.205528642563257,POINT (107.0335936508409 -6.205528642563257),0.0,42,Valley (narrow),11,134.0,37.0,42.0,south,0.008498761802911758,0.10000038146972656,142.80614543296434,1.274947056125896
