,geometry,id,Soil Clay Fraction,Elevation,Drainage Direction,Upstream Drainage Area (km^2),Height Above Nearest Drainage (m),Landform Type,Soil Sand Fraction,Slope (degrees),Fine Earth Density (kg / m^3),Soil Great Group,Distance to Waterway (m),Nearest Water Type,place_name,Population - 1 km,Population - 5 km,Population - 10 km
30,POINT (19.72703742232872 41.48728882278453),8f1ed412071b545,0.25,32,west,0.05145147815346718,8.799999237060547,Lower slope (flat),0.33,1.383674362856886,148,0,1149.6784425102583,river,"Fushë-Krujë, Kruje, Durrës County, Northern Albania, 1502, Albania",1973,22083,59057
31,POINT (19.48071707105924 40.39570031269378),8f1ed6324718099,0.25,58,northwest,0.006537351291626692,89.70000457763672,Upper slope (warm),0.42,21.4958239566843,126,1,256.9939184746853,coastline,"Orikum, Bashkia Vlorë, Vlorë County, Southern Albania, 9426, Albania",77,4787,71889
32,POINT (19.48433297960928 40.34355698409553),8f1ed6304cf44b2,0.24,-2,west,0.1308504194021225,0.0,Lower slope (flat),0.4,0.510007076053543,124,4,247.33276900203273,coastline,"Orikum, Bashkia Vlorë, Vlorë County, Southern Albania, 9426, Albania",186,2466,6223
33,POINT (19.45954118602139 40.49684304593016),8f1ed6aa847676e,0.26,-1,southeast,0.019582904875278473,0.5,Lower slope (flat),0.38,1.258049427106931,140,0,232.89406501029706,canal,"Qendër Vlorë, Bashkia Vlorë, Vlorë County, Southern Albania, 9414, Albania",671,55832,78885
34,POINT (19.51601212045405 41.34206726262195),8f1ed4ce9a2a131,0.25,10,west,0.006445708684623241,2.200000762939453,Lower slope (flat),0.29,0.7428580744758742,159,0,100.47913777970045,ditch,"Rashbull, Xhafzotaj, Bashkia Shijak, Durrës County, Northern Albania, 2019, Albania",2918,94062,181651
35,POINT (19.85481705811213 40.72890922605957),8f1ed468381925c,0.31,519,northwest,0.013010604307055473,308.5,Upper slope,0.3,21.319242926993244,138,5,3002.6085218244502,lake,"Danushaj (Konizbaltë), Ura Vajgurore, Bashkia Ura Vajgurore, Berat County, Southern Albania, 5007, Albania",101,5716,56710
36,POINT (20.18742703677223 40.02125281809537),8f1ed040e522004,0.29,235,north,0.039440009742975235,15.699996948242188,Lower slope,0.32,14.883136297382148,146,2,583.0266318344932,stream,"Goranxi, Dropull i Poshtëm, Bashkia Dropull, Gjirokastër County, Southern Albania, 6004, Albania",64,2559,21998
37,POINT (19.64071444604741 40.88152649683553),8f1ed47b20202d1,0.25,10,southeast,0.006490521598607302,1.0,Upper slope (flat),0.33,0.3091606457115311,151,0,722.3351544364647,ditch,"Gradishtë, Bashkia Divjakë, Fier County, Southern Albania, 9014, Albania",810,9334,52482
38,POINT (19.71049770903442 41.68207302443903),8f1ed4811826b19,0.22,12,southwest,0.0064123100601136684,3.6999998092651367,Lower slope,0.39,2.506112715396605,142,1,109.95613396518125,stream,"Milot, Bashkia Kurbin, Lezhë County, Northern Albania, 4705, Albania",1335,16415,46669
39,POINT (19.77022479442362 40.88903022333373),8f1ed4781b33420,0.27,17,north,0.006489797029644251,3.1000003814697266,Lower slope,0.32,3.322443542462079,157,3,575.3405891380826,canal,"SH72, Fier Shegan, Bashkia Lushnjë, Fier County, Southern Albania, 9013, Albania",361,8493,47395
40,POINT (19.42407796497745 41.37842526903306),8f1ed4ce5ac4ad8,0.24,-1,southwest,0.006442114245146513,2.4000000953674316,Lower slope (flat),0.41,-1.0,131,4,99.7107177036384,canal,"Shën Pali, Katundi i Ri, Bashkia Durrës, Durrës County, Northern Albania, 2017, Albania",2205,25687,125839
41,POINT (20.03678400270354 39.8862829299886),8f1ed0482ad4d2a,0.3,13,southwest,0.019757723435759544,3.1000003814697266,Lower slope (warm),0.3,0.3091606457115311,157,1,658.5515653681214,stream,"SH78, Shelegar, Sarandë, Bashkia Sarandë, Vlorë County, Southern Albania, 9701, Albania",273,22192,32298
42,POINT (19.43554087150745 40.48842932598436),8f1ed6aaad30d5d,0.25,-1,south,0.1240372434258461,0.5,Upper slope (flat),0.41,-1.0,115,3,149.37304674685348,coastline,"Qendër Vlorë, Bashkia Vlorë, Vlorë County, Southern Albania, 9414, Albania",205,37854,77287
43,POINT (19.51637654655901 40.44251926696172),8f1ed6a89040286,0.27,239,southwest,0.0065329186618328094,136.0,Upper slope (warm),0.34,17.888884896452616,123,1,1669.6817893029015,reservoir,"Bypass Vlorë, Qendër Vlorë, Bashkia Vlorë, Vlorë County, Southern Albania, 9401-9403, Albania",243,55409,78727
44,POINT (19.45886315118861 40.50727640819633),8f1ed6aa8d486b6,0.24,-1,west,0.006526630371809006,0.5,Lower slope (flat),0.36,0.5107917222071632,140,2,724.0566751805193,canal,"Qendër Vlorë, Bashkia Vlorë, Vlorë County, Southern Albania, 9414, Albania",283,37480,78698
45,POINT (19.45627690939745 40.47408879714568),8f1ed6aaa671218,0.24,2,northwest,0.006529876030981541,3.3000001907348633,Upper slope (flat),0.37,1.5315686956862269,130,1,428.41332645491417,canal,"Qendër Vlorë, Bashkia Vlorë, Vlorë County, Southern Albania, 9401, Albania",4824,67639,77688
46,POINT (19.50283556247846 40.42964885261109),8f1ed6a8bb1a10d,0.26,223,northwest,0.02613683044910431,201.8000030517578,Lower slope,0.36,21.195777617635997,119,2,1057.5214924028173,coastline,"Vlora, Bashkia Vlorë, Vlorë County, Southern Albania, 9401-9403, Albania",2982,41707,77939
47,POINT (19.49653010993021 40.36903505035713),8f1ed6323d31d8e,0.27,183,southeast,0.0065399594604969025,56.600006103515625,Upper slope (warm),0.36,9.272646009129272,151,2,1590.8505349048855,coastline,"Radhimë, Orikum, Bashkia Vlorë, Vlorë County, Southern Albania, 9426, Albania",113,1596,20745
48,POINT (19.46220545282426 40.58673210592525),8f1ed6a15891362,0.27,-4,southwest,4.738307476043701,0.0,Lower slope (flat),0.37,2.043901427011673,131,0,34.51041904136623,canal,"Novoselë, Bashkia Vlorë, Vlorë County, Southern Albania, 9411, Albania",84,4424,16750
